question_id,hit_rate@5,correct_docs_found@5,reciprocal_rank,relevant_snippets_found@5,total_relevant_snippets,factual_accuracy,exact_answer_match,judge_correct_answer,supported_claims,total_claims,fabricated_claims
UID0008,1.0,2,1.0,5,136,0,0,0,2,3,1
UID0010,1.0,1,1.0,5,103,0,0,0,2,3,1
UID0042,1.0,1,1.0,1,7,0,0,0,0,0,0
UID0054,1.0,1,1.0,0,1,0,0,0,10,10,0
UID0066,1.0,1,1.0,0,4,0,0,0,0,0,0
UID0078,1.0,1,1.0,0,18,0,0,0,0,0,0
UID0081,1.0,1,1.0,2,2,0,0,0,0,1,1
UID0086,1.0,1,1.0,0,2,1,1,1,4,4,0
UID0089,1.0,3,1.0,5,296,0,0,0,0,0,0
UID0098,1.0,2,1.0,5,232,0,0,0,0,0,0
UID0099,1.0,2,1.0,0,7,0,0,0,0,0,0
UID0102,1.0,4,1.0,0,4,0,0,0,0,0,0
UID0109,1.0,2,1.0,0,4,0,0,0,0,0,0
UID0110,1.0,1,1.0,5,253,0,0,0,0,0,0
UID0111,1.0,2,1.0,5,371,0,0,0,0,0,0
