question_id,hit_rate@5,correct_docs_found@5,reciprocal_rank,relevant_snippets_found@5,total_relevant_snippets,factual_accuracy,exact_answer_match,judge_correct_answer,supported_claims,total_claims,fabricated_claims
UID0008,0.0,0,0.0,0,136,0,0,0,2,2,0
UID0010,0.0,0,0.0,0,103,0,0,0,0,0,0
UID0042,1.0,1,1.0,0,7,0,0,0,0,0,0
UID0054,0.0,0,0.0,0,1,0,0,0,0,0,0
UID0066,1.0,1,1.0,0,4,0,0,0,0,0,0
UID0078,1.0,1,1.0,0,18,0,0,0,2,5,3
UID0081,1.0,1,0.25,1,2,0,0,0,1,1,0
UID0086,1.0,1,1.0,0,2,0,0,0,2,3,1
UID0089,0.0,0,0.0,0,296,0,0,0,0,0,0
UID0098,1.0,1,0.5,1,232,0,0,0,0,0,0
UID0099,0.0,0,0.0,0,7,0,0,0,0,1,1
UID0102,1.0,2,0.5,0,4,0,0,0,0,0,0
UID0109,1.0,1,0.25,0,4,0,0,0,0,0,0
UID0110,0.0,0,0.0,0,253,0,0,0,0,0,0
UID0111,1.0,1,0.25,1,371,0,0,0,0,0,0
